place_name,sector,reviewer_name,rating,time,text,text_clean,sentiment,score,place_lat,place_lng
Bebek Mas Mun BakauHeni,Harbourfront and Intermoda Area,Catherine Puspita,5,2 tahun lalu,Bebek enak dan empuk. Bisa dimakan dengan mudah walau pakai sendok garpu. Sambel juga enak. Service nya mantap sangat ramah. Telur dadarnya beli RM padang depan nya.,bebek enak dan empuk  bisa dimakan dengan mudah walau pakai sendok garpu  sambel juga enak  service nya bagus sangat ramah  telur dadarnya beli rm padang depan nya,Positif,0.99996984,-5.8658106,105.7569319
Bebek Mas Mun BakauHeni,Harbourfront and Intermoda Area,Ernie Arbie,5,sebulan lalu,Favorit bgt bebek mas mun ... Suka bebeknya yang lembut dan gurih... Pelayanannya ramah dan cepat saji ... Pokoknya the best,favorit banget bebek mas mun     suka bebeknya yang lembut dan gurih    pelayanannya ramah dan cepat saji     pokoknya the best,Positif,0.9999690056,-5.8658106,105.7569319
Bebek Mas Mun BakauHeni,Harbourfront and Intermoda Area,Mahfut Arifin,5,2 bulan lalu,Makan bebek d sini enak bangett rekomen bebekny empuk gk bauk bumbuny meresap bgtt,makan bebek d sini enak bangett bagus bebekny empuk tidak bauk bumbuny meresap bgtt,Positif,0.9999697208,-5.8658106,105.7569319
Bebek Mas Mun BakauHeni,Harbourfront and Intermoda Area,BeWee,5,3 tahun lalu,"Mantap ada lalapan ayam terjangkau. Ada harga nya tertulis tanpa takut di pakang. Nunggu agak lama dan keluar ayam goreng panas, sambel korek l Mak nyos. Sayang lalapan cuma kubis. Tapi jauh lebih enak drpd mi instnt atau ayam ala kfc",bagus ada lalapan ayam terjangkau  ada harga nya tertulis tanpa takut di pakang  nunggu agak lama dan keluar ayam goreng panas  sambel korek l mak nyos  sayang lalapan cuma kubis  tapi jauh lebih enak drpd mi instnt atau ayam ala kfc,Positif,0.999956727,-5.8658106,105.7569319
Bebek Mas Mun BakauHeni,Harbourfront and Intermoda Area,Benny Manurung,1,6 bulan lalu,Karyawan nya gak niat jualan....1 jam lebih nunggu...masih masak nasi 🤣🤣🤣🤣 …,karyawan nya tidak niat jualan    1 jam lebih nunggu   masih masak nasi,Negatif,0.9998720884,-5.8658106,105.7569319
Bebek Mas Mun BakauHeni,Harbourfront and Intermoda Area,Alim Journey,5,4 tahun lalu,"Pas lagi laper nunggu giliran masuk kapal, ditawari mbak² box bebek mas mun, alhamdulillah gak nyesel beli...rasa mantab, sambel jg maknyus, porsi bebek juga worth it dgn harganya (35k), skrg gak perlu lg beli popmie kl nyebrang hehe..",pas lagi laper nunggu giliran masuk kapal  ditawari mbak² box bebek mas mun  alhamdulillah tidak nyesel beli   rasa mantab  sambel jg maknyus  porsi bebek juga worth it dengan harganya  35k   skrg tidak perlu lg beli popmie kl nyebrang hehe,Positif,0.9999694824,-5.8658106,105.7569319
Bebek Mas Mun BakauHeni,Harbourfront and Intermoda Area,Daniel Setiawan,5,3 tahun lalu,"Bebeknya enak
Nasi agak kurang banyak","bebeknya enak
nasi agak kurang banyak",Positif,0.9999581575,-5.8658106,105.7569319
Bebek Mas Mun BakauHeni,Harbourfront and Intermoda Area,Ervan Eka Prasetiadi,5,2 tahun lalu,Makanan endul harga bersahabat,makanan endul harga bersahabat,Positif,0.9999670982,-5.8658106,105.7569319
Berkah Alam Resto,Harbourfront and Intermoda Area,Putri Tiara,5,Diedit 2 tahun lalu,Sangat baik,sangat baik,Positif,0.9999572039,-5.8663309,105.7567995
Lejit Cafe,Harbourfront and Intermoda Area,Dian,5,2 tahun lalu,"Parkiran luas, harga minuman mulai 5rb. Cemilan bervariatif, berbagai macam varian mie, ada nasi goreng , ayam goreng, bakso sony, boci, ayam saos tiram dll. Viewnya syahdu pinggir jalan dan lampu lampu",parkiran luas  harga minuman mulai 5rb  cemilan bervariatif  berbagai macam varian mie  ada nasi goreng   ayam goreng  bakso sony  boci  ayam saos tiram dll  pemandangan syahdu pinggir jalan dan lampu lampu,Positif,0.9999653101,-5.8653223,105.7478476
